imdb_id,title,year,popularity,description,content_rating,movie_length,rating,created_at,trailer,image_url,release,plot,banner,type,more_like_this,gen,keywords,genres
tt0177789,Galaxy Quest,1999,587,"The sci-fi television series ""Galaxy Quest"", which took place aboard the intergalactic spaceship NSEA Protector, starred Jason Nesmith as suave Commander Peter Quincy Taggart, Gwen DeMarco as sexy communications person Lt. Tawny Madison (a role which consisted solely of repeating what the computer stated, much to Gwen's chagrin), Shakespearean trained Sir Alexander Dane as alien Dr. Lazarus, Fred Kwan as engineer Tech Sergeant Chen, and Tommy Webber as child pilot Laredo. Eighteen years after the series last aired, it lives on in the hearts of its rabid fans. However, it lives on in infamy for its stars, who have not been able to find meaningful acting work since. Their current lives revolve around cashing in on however those roles will afford, which usually entails attending fan conventions or worse, such as electronic store openings. Only Jason seems to relish his lot in life, until he finds out that his co-stars detest him because of his superior attitude as ""the Commander"", and ...",PG,102,7.3,2021-04-29T11:24:57.615101+03:00,,"https://m.media-amazon.com/images/M/MV5BNmZlNTY5YjQtZTU5ZC00MzcyLWI1NDMtNjA0ZjQxMmQwYjJmL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-04-13,"The alumni cast of a space opera television series have to play their roles as the real thing when an alien race needs their help. However, they also have to defend both Earth and the alien race from a reptilian warlord.",https://m.media-amazon.com/images/M/MV5BNmZlNTY5YjQtZTU5ZC00MzcyLWI1NDMtNjA0ZjQxMmQwYjJmL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,movie,{},"[{'id': 4, 'genre': 'Adventure'}, {'id': 9, 'genre': 'Comedy'}, {'id': 11, 'genre': 'Sci-Fi'}]","[{'id': 366, 'keyword': 'alien'}, {'id': 729, 'keyword': 'shapeshifting'}, {'id': 1102, 'keyword': 'sexy woman'}, {'id': 1103, 'keyword': 'actor'}, {'id': 1104, 'keyword': 'fanboy'}]",Adventure;Comedy;Sci-Fi
tt0120915,Star Wars: Episode I - The Phantom Menace,1999,608,"The evil Trade Federation, led by Nute Gunray is planning to take over the peaceful world of Naboo. Jedi Knights Qui-Gon Jinn and Obi-Wan Kenobi are sent to confront the leaders. But not everything goes to plan. The two Jedi escape, and along with their new Gungan friend, Jar Jar Binks head to Naboo to warn Queen Amidala, but droids have already started to capture Naboo and the Queen is not safe there. Eventually, they land on Tatooine, where they become friends with a young boy known as Anakin Skywalker. Qui-Gon is curious about the boy, and sees a bright future for him. The group must now find a way of getting to Coruscant and to finally solve this trade dispute, but there is someone else hiding in the shadows. Are the Sith really extinct? Is the Queen really who she says she is? And what's so special about this young boy?",PG,136,6.5,2021-04-29T11:24:58.751065+03:00,https://www.youtube.com/embed/bD7bpG-zDJQ,"https://m.media-amazon.com/images/M/MV5BYTRhNjcwNWQtMGJmMi00NmQyLWE2YzItODVmMTdjNWI0ZDA2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-09-30,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.",https://m.media-amazon.com/images/M/MV5BYTRhNjcwNWQtMGJmMi00NmQyLWE2YzItODVmMTdjNWI0ZDA2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,movie,{},"[{'id': 4, 'genre': 'Adventure'}, {'id': 6, 'genre': 'Fantasy'}, {'id': 11, 'genre': 'Sci-Fi'}, {'id': 13, 'genre': 'Action'}]","[{'id': 628, 'keyword': 'slavery'}, {'id': 1219, 'keyword': 'r2 d2 character'}, {'id': 1220, 'keyword': 'c 3po character'}, {'id': 1221, 'keyword': 'jedi'}, {'id': 1222, 'keyword': 'torso cut in half'}]",Adventure;Fantasy;Sci-Fi;Action
tt0120655,Dogma,1999,1966,"An abortion clinic worker with a special heritage is enlisted to prevent two angels from reentering Heaven and thus undoing the fabric of the universe. Along the way, she is aided by two prophets, Jay and Silent Bob. With the help of Rufus, the 13th Apostle, they must stop those who stand in their way and prevent the angels from entering Heaven.",R,130,7.3,2021-04-29T11:24:59.772540+03:00,https://www.youtube.com/embed/20CRw3XdETA,"https://m.media-amazon.com/images/M/MV5BYzAyOWUyZjQtNDBiMy00ZDExLTgwNmMtZDdmY2ViNzkyN2Y0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-08-03,An abortion clinic worker with a special heritage is called upon to save the existence of humanity from being negated by two renegade angels trying to exploit a loop-hole and reenter Heaven.,https://m.media-amazon.com/images/M/MV5BYzAyOWUyZjQtNDBiMy00ZDExLTgwNmMtZDdmY2ViNzkyN2Y0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,movie,{},"[{'id': 4, 'genre': 'Adventure'}, {'id': 6, 'genre': 'Fantasy'}, {'id': 8, 'genre': 'Drama'}, {'id': 9, 'genre': 'Comedy'}]","[{'id': 338, 'keyword': 'clinic'}, {'id': 5064, 'keyword': 'silent bob character'}, {'id': 5065, 'keyword': 'jay character'}, {'id': 5066, 'keyword': 'angel'}, {'id': 5069, 'keyword': 'abortion clinic'}]",Adventure;Fantasy;Drama;Comedy
tt0143145,The World Is Not Enough,1999,1978,"James Bond (Pierce Brosnan) is back. An oil tycoon is murdered in MI6, and Bond is sent to protect his daughter. Renard (Robert Carlyle), who has a bullet lodged in his brain from a previous Agent, is secretly planning the destruction of a pipeline. Bond gains a hand from research scientist Dr. Christmas Jones (Denise Richards), who witnesses the action which happens when Bond meets up with Renard, but Bond becomes suspicious about Elektra King (Sophie Marceau), especially when Bond's boss, M (Dame Judi Dench) goes missing. Bond must work quickly to prevent Renard from destroying Europe.",PG-13,128,6.4,2021-04-29T11:25:00.763884+03:00,https://www.youtube.com/embed/9nH1DwQP2Xs,"https://m.media-amazon.com/images/M/MV5BMjA0MzUyNjg0MV5BMl5BanBnXkFtZTcwNDY5MDg0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-12-02,"James Bond uncovers a nuclear plot while protecting an oil heiress from her former kidnapper, an international terrorist who can't feel pain.",https://m.media-amazon.com/images/M/MV5BMjA0MzUyNjg0MV5BMl5BanBnXkFtZTcwNDY5MDg0NA@@._V1_.jpg,movie,{},"[{'id': 4, 'genre': 'Adventure'}, {'id': 7, 'genre': 'Crime'}, {'id': 13, 'genre': 'Action'}, {'id': 14, 'genre': 'Thriller'}]","[{'id': 1159, 'keyword': 'bare midriff'}, {'id': 1701, 'keyword': 'official bond film'}, {'id': 1956, 'keyword': 'black pantyhose'}, {'id': 5667, 'keyword': 'female stockinged legs'}, {'id': 6303, 'keyword': 'bilbao spain'}]",Adventure;Crime;Action;Thriller
tt0145660,Austin Powers: The Spy Who Shagged Me,1999,1969,"Dr. Evil uses a device he calls a ""Time Machine"" to travel back to 1969 and remove Austin Powers' mojo. The sexually wounded swinger must travel back in time and, with the help of agent Felicity Shagwell, recover his vitality. Meanwhile, Dr. Evil's personal life runs amok as he discovers love, continues to shun his son and develops a close relationship with himself. Well, actually, a clone 1/8 his size whom he dubs ""Mini-Me"". The always time-baffled Dr. Evil begins his plan to put a gigantic cannon on the moon, thus turning it into a device called either ""The Death Star"" or ""Alan Parson's Project,"" depending on which name is available.",PG-13,95,6.6,2021-04-29T11:25:00.824722+03:00,https://www.youtube.com/embed/LGVjoLlgHbM,"https://m.media-amazon.com/images/M/MV5BMmFkZGQxN2YtODNlYS00MzM5LTk3NjQtNTUxYmQ1YzkwMDhmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-09-09,"Dr. Evil is back and has invented a new time machine that allows him to go back to the 1960s and steal Austin Powers' mojo, inadvertently leaving him ""shagless"".",https://m.media-amazon.com/images/M/MV5BMmFkZGQxN2YtODNlYS00MzM5LTk3NjQtNTUxYmQ1YzkwMDhmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,movie,{},"[{'id': 4, 'genre': 'Adventure'}, {'id': 7, 'genre': 'Crime'}, {'id': 9, 'genre': 'Comedy'}, {'id': 13, 'genre': 'Action'}]","[{'id': 920, 'keyword': 'spy'}, {'id': 1893, 'keyword': 'parody'}, {'id': 4735, 'keyword': 'penis joke'}, {'id': 4736, 'keyword': 'sexy agent'}, {'id': 4737, 'keyword': 'sexual joke'}]",Adventure;Crime;Comedy;Action
tt0149261,Deep Blue Sea,1999,2012,"A businessman sinks $200 million into a special project to help fight Alzheimer's disease. As part of this project, medical biologist Susan McAlester rather naughtily figures out a way to genetically enlarge shark brains, so that disease-battling enzymes can be harvested. However, the shark subjects become super smart and decide they don't much like being cooped up in pens and being stabbed with hypodermics, so they figure a way to break out and make for the open sea...",R,105,5.9,2021-04-29T11:25:02.348656+03:00,https://www.youtube.com/embed/oSz9MDN-iac,"https://m.media-amazon.com/images/M/MV5BZWM0NjVkOGYtMjk5Mi00NGVmLWE3NDMtMDQ3ZjdjMDcwYzdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-10-28,"Searching for a cure to Alzheimer's disease, a group of scientists on an isolated research facility become the prey, as a trio of intelligent sharks fight back.",https://m.media-amazon.com/images/M/MV5BZWM0NjVkOGYtMjk5Mi00NGVmLWE3NDMtMDQ3ZjdjMDcwYzdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,movie,{},"[{'id': 4, 'genre': 'Adventure'}, {'id': 11, 'genre': 'Sci-Fi'}, {'id': 13, 'genre': 'Action'}, {'id': 14, 'genre': 'Thriller'}]","[{'id': 449, 'keyword': ""alzheimer's disease""}, {'id': 497, 'keyword': 'scientist'}, {'id': 1194, 'keyword': 'shark'}, {'id': 4011, 'keyword': 'experiment'}, {'id': 5896, 'keyword': 'research'}]",Adventure;Sci-Fi;Action;Thriller
tt0120363,Toy Story 2,1999,2268,"While Andy is away at summer camp Woody has been toynapped by Al McWiggin, a greedy collector and proprietor of ""Al's Toy Barn""! In this all-out rescue mission, Buzz and his friends Mr. Potato Head, Slinky Dog, Rex and Hamm springs into action to rescue Woody from winding up as a museum piece. They must find a way to save him before he gets sold in Japan forever and they'll never see him again!",G,92,7.9,2021-04-29T11:25:11.851780+03:00,https://www.youtube.com/embed/xNWSGRD5CzU,"https://m.media-amazon.com/images/M/MV5BMWM5ZDcxMTYtNTEyNS00MDRkLWI3YTItNThmMGExMWY4NDIwXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-02-03,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",https://m.media-amazon.com/images/M/MV5BMWM5ZDcxMTYtNTEyNS00MDRkLWI3YTItNThmMGExMWY4NDIwXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_.jpg,movie,{},"[{'id': 4, 'genre': 'Adventure'}, {'id': 5, 'genre': 'Family'}, {'id': 6, 'genre': 'Fantasy'}, {'id': 9, 'genre': 'Comedy'}, {'id': 10, 'genre': 'Animation'}]","[{'id': 47, 'keyword': 'rescue'}, {'id': 483, 'keyword': 'cgi animation'}, {'id': 1156, 'keyword': '1990s'}, {'id': 2238, 'keyword': 'toy'}, {'id': 2239, 'keyword': 'toy comes to life'}]",Adventure;Family;Fantasy;Comedy;Animation
tt0120657,The 13th Warrior,1999,2281,"A cultured diplomat joins a band of savage warriors in time to meet an even more fearsome enemy in this historical adventure. In 922 A.D., Ibn Fadlan (Antonio Banderas) is a Muslim emissary from Baghdad en route to meet with the King of Saqaliba when he is captured by a gang of Vikings. While Ibn and his people are intelligent and well-mannered, the Vikings are a rowdy and sometimes unpleasant lot, with an unquenchable appetite for food, alcohol, and women. However, in time he develops an understanding and respect for the Viking warriors and is welcomed into their society by their leader, Buliwyf. However, Ibn must now join them as they return to their homeland once they receive word of an invasion by a huge pack of bloodthirsty invaders who will destroy and eat anything in their path -- including the flesh of the men they have killed.",R,102,6.6,2021-04-29T11:25:13.035606+03:00,https://www.youtube.com/embed/Ui7GUCzlBTM,"https://m.media-amazon.com/images/M/MV5BNDZhZDk0ZTktZmNhMC00YTU1LWEwY2YtZmIyMWM5MTNlNDEwXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-10-07,"A man, having fallen in love with the wrong woman, is sent by the sultan himself on a diplomatic mission to a distant land as an ambassador. Stopping at a Viking village port to restock on supplies, he finds himself unwittingly embroiled in a quest to banish a mysterious threat in a distant Viking land.",https://m.media-amazon.com/images/M/MV5BNDZhZDk0ZTktZmNhMC00YTU1LWEwY2YtZmIyMWM5MTNlNDEwXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_.jpg,movie,{},"[{'id': 4, 'genre': 'Adventure'}, {'id': 13, 'genre': 'Action'}, {'id': 31, 'genre': 'History'}]","[{'id': 482, 'keyword': 'warrior'}, {'id': 554, 'keyword': 'battle'}, {'id': 1157, 'keyword': 'combat'}, {'id': 3953, 'keyword': 'viking'}, {'id': 5594, 'keyword': 'arab'}]",Adventure;Action;History
tt0120616,The Mummy,1999,375,"An English librarian called Evelyn Carnahan becomes interested in starting an archaeological dig at the ancient city of Hamunaptra. She gains the help of Rick O'Connell, after saving him from his death. What Evelyn, her brother Jonathan and Rick are unaware of is that another group of explorers are interested in the same dig. Unfortunately for everyone, this group ends up unleashing a curse which been laid on the dead High Priest Imhotep. Now 'The Mummy' is awake and it's going to take a lot more than guns to send him back to where he came from.",PG-13,124,7.0,2021-04-29T11:25:21.384980+03:00,https://www.youtube.com/embed/f7oKxlaUBac,"https://m.media-amazon.com/images/M/MV5BOTJiYjBhZDgtMjhiOC00MTIzLThlNGMtMmI1NjIwM2M3YTI5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-07-15,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.",https://m.media-amazon.com/images/M/MV5BOTJiYjBhZDgtMjhiOC00MTIzLThlNGMtMmI1NjIwM2M3YTI5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,movie,{},"[{'id': 4, 'genre': 'Adventure'}, {'id': 6, 'genre': 'Fantasy'}, {'id': 13, 'genre': 'Action'}]","[{'id': 1305, 'keyword': 'good versus evil'}, {'id': 2145, 'keyword': 'mummy'}, {'id': 2156, 'keyword': 'mummy character'}, {'id': 2157, 'keyword': 'gallows'}, {'id': 2158, 'keyword': '1920s'}]",Adventure;Fantasy;Action
tt0120604,Beowulf,1999,1882,"This post-apocalyptic future story is based on the 8th century Saxon epic poem about the knight who battled a monster in a medieval castle. In this story, Beowulf is a wanderer who learns about a man-eating creature called Grendel which comes in the night to devour warriors trapped at the Outpost. The Outpost is ruled by Hrothgar. He has a daughter, whose husband may have been murdered by the Outpost's master of arms.",R,95,4.2,2021-04-29T11:25:31.853320+03:00,https://www.youtube.com/embed/BOrfinPSqyQ,"https://m.media-amazon.com/images/M/MV5BZDk0N2Q5ZDktNWMyZC00NGI1LThmMWEtNTE3YjM0Nzg5YzAyXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-04-01,"In a besieged land, Beowulf must battle against the hideous creature Grendel and his vengeance seeking mother.",https://m.media-amazon.com/images/M/MV5BZDk0N2Q5ZDktNWMyZC00NGI1LThmMWEtNTE3YjM0Nzg5YzAyXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_.jpg,movie,{},"[{'id': 4, 'genre': 'Adventure'}, {'id': 6, 'genre': 'Fantasy'}, {'id': 11, 'genre': 'Sci-Fi'}, {'id': 13, 'genre': 'Action'}, {'id': 14, 'genre': 'Thriller'}, {'id': 28, 'genre': 'Horror'}]","[{'id': 442, 'keyword': 'monster'}, {'id': 482, 'keyword': 'warrior'}, {'id': 554, 'keyword': 'battle'}, {'id': 606, 'keyword': 'knight'}, {'id': 3132, 'keyword': 'sword and sorcery'}]",Adventure;Fantasy;Sci-Fi;Action;Thriller;Horror
