imdb_id,title,year,popularity,description,content_rating,movie_length,rating,created_at,trailer,image_url,release,plot,banner,type,more_like_this,gen,keywords,genres
tt0120601,Being John Malkovich,1999,1924,"Puppeteer Craig Schwartz and animal lover and pet store clerk Lotte Schwartz are just going through the motions of their marriage. Despite not being able to earn a living solely through puppeteering, Craig loves his profession as it allows him to inhabit the skin of others. He begins to take the ability to inhabit the skin of others to the next level when he is forced to take a job as a file clerk for the off-kilter LesterCorp, located on the five-foot tall 7½ floor of a Manhattan office building. Behind one of the filing cabinets in his work area, Craig finds a hidden door which he learns is a portal into the mind of John Malkovich, the visit through the portal which lasts fifteen minutes after which the person is spit into a ditch next to the New Jersey Turnpike. Craig is fascinated by the meaning of life associated with this finding. Lotte's trips through the portal make her evaluate her own self. And the confident Maxine Lund, one of Craig's co-workers who he tells about the ...",R,113,7.7,2021-04-29T11:23:21.370614+03:00,https://www.youtube.com/embed/2UuRFr0GnHM,"https://m.media-amazon.com/images/M/MV5BYmUxY2MyOTQtYjRlMi00ZWEwLTkzODctZDMxNDcyNTFhYjNjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-03-30,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,https://m.media-amazon.com/images/M/MV5BYmUxY2MyOTQtYjRlMi00ZWEwLTkzODctZDMxNDcyNTFhYjNjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_.jpg,movie,{},"[{'id': 6, 'genre': 'Fantasy'}, {'id': 8, 'genre': 'Drama'}, {'id': 9, 'genre': 'Comedy'}]","[{'id': 1213, 'keyword': 'body swap'}, {'id': 1289, 'keyword': 'portal'}, {'id': 3279, 'keyword': 'magical realism'}, {'id': 6390, 'keyword': 'puppeteer'}, {'id': 6391, 'keyword': 'body switching'}]",Fantasy;Drama;Comedy
tt0151804,Office Space,1999,816,"In the Initech office, the insecure Peter Gibbons hates his job and the obnoxious Division VP Bill Lumbergh who has just hired two efficiency consultants to downsize the company. His best friends are two software engineers Michael Bolton and Samir Nagheenanajar, that also hate Initech, and his intrusive next door neighbor Lawrence. He believes his girlfriend Anne is cheating on him but she convinces Peter to visit the hypnotherapist Dr. Swanson. Peter tells how miserable his life is and Dr. Swanson hypnotizes him and he goes into a state of ecstasy. However, Dr. Swanson dies immediately after giving the hypnotic suggestion to Peter. Peter, in his new state, starts to date the waitress Joanna and changes his attitude which results in his being promoted by the consultants. When he discovers that Michael and Samir will be downsized, they decide to plant a virus in the banking system to embezzle fraction of cents on each financial operation into Peter's account. However Michael commits a ...",R,89,7.7,2021-04-29T11:23:39.074900+03:00,,"https://m.media-amazon.com/images/M/MV5BOTA5MzQ3MzI1NV5BMl5BanBnXkFtZTgwNTcxNTYxMTE@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-06-10,Three company workers who hate their jobs decide to rebel against their greedy boss.,https://m.media-amazon.com/images/M/MV5BOTA5MzQ3MzI1NV5BMl5BanBnXkFtZTgwNTcxNTYxMTE@._V1_.jpg,movie,{},"[{'id': 9, 'genre': 'Comedy'}]","[{'id': 89, 'keyword': 'computer'}, {'id': 284, 'keyword': 'black comedy'}, {'id': 2549, 'keyword': 'boss'}, {'id': 2552, 'keyword': 'office'}, {'id': 2553, 'keyword': 'corporation'}]",Comedy
tt0142342,Big Daddy,1999,1490,"Sonny Koufax is 32 years old. He's a law school graduate. He's got a nice apartment in Manhattan. There's just one problem. He does nothing, except sit on his butt and live off an investment that was the result of a meager lawsuit he won a year ago. But after his fed up girlfriend leaves him, he comes up with the ingenious idea to adopt a five year old boy to showcase his newfound maturity. But things don't go as planned, and Sonny finds himself the unlikely foster father that will change his perspective on just looking out for himself.",PG-13,93,6.4,2021-04-29T11:23:50.935243+03:00,https://www.youtube.com/embed/jxnccxgybUI,"https://m.media-amazon.com/images/M/MV5BYjAzNzQ4YzEtZWFlOS00YWVkLWE2NDctZDBiZTUxYjgwOTYzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-11-04,"A lazy law school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father.",https://m.media-amazon.com/images/M/MV5BYjAzNzQ4YzEtZWFlOS00YWVkLWE2NDctZDBiZTUxYjgwOTYzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,movie,{},"[{'id': 8, 'genre': 'Drama'}, {'id': 9, 'genre': 'Comedy'}]","[{'id': 6, 'keyword': 'orphan'}, {'id': 122, 'keyword': 'new york city'}, {'id': 4795, 'keyword': 'responsibility'}, {'id': 6990, 'keyword': 'homeless man'}, {'id': 6991, 'keyword': 'immaturity'}]",Drama;Comedy
tt0125439,Notting Hill,1999,1063,"Every man's dream comes true for William Thacker, an unsuccessful Notting Hill bookstore owner, when Anna Scott, the world's most beautiful woman and best-liked actress, enters his shop. A little later, he still can't believe it himself, William runs into her again - this time spilling orange juice over her. Anna accepts his offer to change in his nearby apartment, and thanks him with a kiss, which seems to surprise her even more than him. Eventually, Anna and William get to know each other better over the months, but being together with the world's most wanted woman is not easy - neither around your closest friends, nor in front of the all-devouring press.",PG-13,124,7.1,2021-04-29T11:23:54.202953+03:00,https://www.youtube.com/embed/4RI0QvaGoiI,"https://m.media-amazon.com/images/M/MV5BMTE5OTkwYzYtNDhlNC00MzljLTk1YTktY2IxZjliZmNjMjUzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-07-01,The life of a simple bookshop owner changes when he meets the most famous film star in the world.,https://m.media-amazon.com/images/M/MV5BMTE5OTkwYzYtNDhlNC00MzljLTk1YTktY2IxZjliZmNjMjUzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,movie,{},"[{'id': 8, 'genre': 'Drama'}, {'id': 9, 'genre': 'Comedy'}, {'id': 26, 'genre': 'Romance'}]","[{'id': 121, 'keyword': 'hotel'}, {'id': 245, 'keyword': 'friendship'}, {'id': 1018, 'keyword': 'dating'}, {'id': 2929, 'keyword': 'park'}, {'id': 2930, 'keyword': 'fake reporter'}]",Drama;Comedy;Romance
tt0157503,Drop Dead Gorgeous,1999,2405,"In a small Minnesota town, the annual beauty pageant is being covered by a TV crew. Former winner Gladys Leeman wants to make sure her daughter follows in her footsteps. Explosions, falling lights, and trailer fires prove that. As the Leemans are the richest family in town the police are pretty relaxed about it all. Despite everything, main rival (but nice) Amber Atkins won't be stopped. There could well be more death and disappointment to come.",PG-13,97,6.6,2021-04-29T11:24:47.231850+03:00,https://www.youtube.com/embed/dpkZV4wX92M,"https://m.media-amazon.com/images/M/MV5BOTBhYjRlYmYtNzQxZS00NmEwLTk3OTAtNjU4MDEwMmUyZDczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-06-08,A small-town beauty pageant turns deadly as it becomes clear that someone will go to any lengths to win.,https://m.media-amazon.com/images/M/MV5BOTBhYjRlYmYtNzQxZS00NmEwLTk3OTAtNjU4MDEwMmUyZDczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,movie,{},"[{'id': 9, 'genre': 'Comedy'}, {'id': 14, 'genre': 'Thriller'}, {'id': 26, 'genre': 'Romance'}]","[{'id': 96, 'keyword': 'murder'}, {'id': 493, 'keyword': 'f rated'}, {'id': 1394, 'keyword': 'small town'}, {'id': 1460, 'keyword': 'beauty pageant'}, {'id': 1867, 'keyword': 'minnesota'}]",Comedy;Thriller;Romance
tt0163651,American Pie,1999,224,"Jim, Oz, Finch and Kevin are four friends who make a pact that before they graduate they will all lose their virginity. The hard job now is how to reach that goal by prom night. Whilst Oz begins singing to grab attention and Kevin tries to persuade his girlfriend, Finch tries any easy route of spreading rumors and Jim fails miserably. Whether it is being caught on top of a pie or on the Internet, Jim always ends up with his trusty sex advice from his father. Will they achieve their goal of getting laid by prom night? Or will they learn something much different?",R,95,7.0,2021-04-29T11:24:50.272722+03:00,https://www.youtube.com/embed/iUZ3Yxok6N8,"https://m.media-amazon.com/images/M/MV5BMTg3ODY5ODI1NF5BMl5BanBnXkFtZTgwMTkxNTYxMTE@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-01-06,Four teenage boys enter a pact to lose their virginity by prom night.,https://m.media-amazon.com/images/M/MV5BMTg3ODY5ODI1NF5BMl5BanBnXkFtZTgwMTkxNTYxMTE@._V1_.jpg,movie,{},"[{'id': 9, 'genre': 'Comedy'}]","[{'id': 505, 'keyword': 'female frontal nudity'}, {'id': 1301, 'keyword': 'nudity'}, {'id': 1631, 'keyword': 'female masturbation'}, {'id': 1632, 'keyword': 'prom'}, {'id': 1633, 'keyword': 'milf'}]",Comedy
tt0132347,Mystery Men,1999,213,"In order to generate more endorsement revenue, Champion City's resident superhero Captain Amazing arranges for the release of super villain Casanova Frankenstein, only to be captured by him. The city's fate rests in the hands of seven loser superhero wannabes: the fork-flinging Blue Rajah, the shovel-wielding Shoveler, the possessed bowling ball-hurling Bowler, the flatulent Spleen, the only-when-nobody's-looking Invisible Boy, the mysterious Sphinx, and the perpetually-angry Mr. Furious.",PG-13,121,6.1,2021-04-29T11:24:50.438280+03:00,https://www.youtube.com/embed/weL-NjlIQ0E,"https://m.media-amazon.com/images/M/MV5BYjdkZDRhYTgtNDliYS00ZmE1LThjYWMtOWNjNzNiODFmY2VmXkEyXkFqcGdeQXVyNjc4ODQwNzg@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-08-06,A group of inept amateur superheroes must try to save the day when a supervillain threatens to destroy a major superhero and the city.,https://m.media-amazon.com/images/M/MV5BYjdkZDRhYTgtNDliYS00ZmE1LThjYWMtOWNjNzNiODFmY2VmXkEyXkFqcGdeQXVyNjc4ODQwNzg@._V1_.jpg,movie,{},"[{'id': 6, 'genre': 'Fantasy'}, {'id': 9, 'genre': 'Comedy'}, {'id': 11, 'genre': 'Sci-Fi'}, {'id': 13, 'genre': 'Action'}]","[{'id': 480, 'keyword': 'troubled production'}, {'id': 845, 'keyword': 'action hero'}, {'id': 846, 'keyword': 'retirement home'}, {'id': 847, 'keyword': 'superhero spoof'}, {'id': 848, 'keyword': 'bowling ball'}]",Fantasy;Comedy;Sci-Fi;Action
tt0177789,Galaxy Quest,1999,587,"The sci-fi television series ""Galaxy Quest"", which took place aboard the intergalactic spaceship NSEA Protector, starred Jason Nesmith as suave Commander Peter Quincy Taggart, Gwen DeMarco as sexy communications person Lt. Tawny Madison (a role which consisted solely of repeating what the computer stated, much to Gwen's chagrin), Shakespearean trained Sir Alexander Dane as alien Dr. Lazarus, Fred Kwan as engineer Tech Sergeant Chen, and Tommy Webber as child pilot Laredo. Eighteen years after the series last aired, it lives on in the hearts of its rabid fans. However, it lives on in infamy for its stars, who have not been able to find meaningful acting work since. Their current lives revolve around cashing in on however those roles will afford, which usually entails attending fan conventions or worse, such as electronic store openings. Only Jason seems to relish his lot in life, until he finds out that his co-stars detest him because of his superior attitude as ""the Commander"", and ...",PG,102,7.3,2021-04-29T11:24:57.615101+03:00,,"https://m.media-amazon.com/images/M/MV5BNmZlNTY5YjQtZTU5ZC00MzcyLWI1NDMtNjA0ZjQxMmQwYjJmL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-04-13,"The alumni cast of a space opera television series have to play their roles as the real thing when an alien race needs their help. However, they also have to defend both Earth and the alien race from a reptilian warlord.",https://m.media-amazon.com/images/M/MV5BNmZlNTY5YjQtZTU5ZC00MzcyLWI1NDMtNjA0ZjQxMmQwYjJmL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,movie,{},"[{'id': 4, 'genre': 'Adventure'}, {'id': 9, 'genre': 'Comedy'}, {'id': 11, 'genre': 'Sci-Fi'}]","[{'id': 366, 'keyword': 'alien'}, {'id': 729, 'keyword': 'shapeshifting'}, {'id': 1102, 'keyword': 'sexy woman'}, {'id': 1103, 'keyword': 'actor'}, {'id': 1104, 'keyword': 'fanboy'}]",Adventure;Comedy;Sci-Fi
tt0120655,Dogma,1999,1966,"An abortion clinic worker with a special heritage is enlisted to prevent two angels from reentering Heaven and thus undoing the fabric of the universe. Along the way, she is aided by two prophets, Jay and Silent Bob. With the help of Rufus, the 13th Apostle, they must stop those who stand in their way and prevent the angels from entering Heaven.",R,130,7.3,2021-04-29T11:24:59.772540+03:00,https://www.youtube.com/embed/20CRw3XdETA,"https://m.media-amazon.com/images/M/MV5BYzAyOWUyZjQtNDBiMy00ZDExLTgwNmMtZDdmY2ViNzkyN2Y0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-08-03,An abortion clinic worker with a special heritage is called upon to save the existence of humanity from being negated by two renegade angels trying to exploit a loop-hole and reenter Heaven.,https://m.media-amazon.com/images/M/MV5BYzAyOWUyZjQtNDBiMy00ZDExLTgwNmMtZDdmY2ViNzkyN2Y0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,movie,{},"[{'id': 4, 'genre': 'Adventure'}, {'id': 6, 'genre': 'Fantasy'}, {'id': 8, 'genre': 'Drama'}, {'id': 9, 'genre': 'Comedy'}]","[{'id': 338, 'keyword': 'clinic'}, {'id': 5064, 'keyword': 'silent bob character'}, {'id': 5065, 'keyword': 'jay character'}, {'id': 5066, 'keyword': 'angel'}, {'id': 5069, 'keyword': 'abortion clinic'}]",Adventure;Fantasy;Drama;Comedy
tt0145660,Austin Powers: The Spy Who Shagged Me,1999,1969,"Dr. Evil uses a device he calls a ""Time Machine"" to travel back to 1969 and remove Austin Powers' mojo. The sexually wounded swinger must travel back in time and, with the help of agent Felicity Shagwell, recover his vitality. Meanwhile, Dr. Evil's personal life runs amok as he discovers love, continues to shun his son and develops a close relationship with himself. Well, actually, a clone 1/8 his size whom he dubs ""Mini-Me"". The always time-baffled Dr. Evil begins his plan to put a gigantic cannon on the moon, thus turning it into a device called either ""The Death Star"" or ""Alan Parson's Project,"" depending on which name is available.",PG-13,95,6.6,2021-04-29T11:25:00.824722+03:00,https://www.youtube.com/embed/LGVjoLlgHbM,"https://m.media-amazon.com/images/M/MV5BMmFkZGQxN2YtODNlYS00MzM5LTk3NjQtNTUxYmQ1YzkwMDhmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-09-09,"Dr. Evil is back and has invented a new time machine that allows him to go back to the 1960s and steal Austin Powers' mojo, inadvertently leaving him ""shagless"".",https://m.media-amazon.com/images/M/MV5BMmFkZGQxN2YtODNlYS00MzM5LTk3NjQtNTUxYmQ1YzkwMDhmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,movie,{},"[{'id': 4, 'genre': 'Adventure'}, {'id': 7, 'genre': 'Crime'}, {'id': 9, 'genre': 'Comedy'}, {'id': 13, 'genre': 'Action'}]","[{'id': 920, 'keyword': 'spy'}, {'id': 1893, 'keyword': 'parody'}, {'id': 4735, 'keyword': 'penis joke'}, {'id': 4736, 'keyword': 'sexy agent'}, {'id': 4737, 'keyword': 'sexual joke'}]",Adventure;Crime;Comedy;Action
