imdb_id,title,year,popularity,description,content_rating,movie_length,rating,created_at,trailer,image_url,release,plot,banner,type,more_like_this,gen,keywords,genres
tt0134119,The Talented Mr. Ripley,1999,1549,"The 1950s. Manhattan lavatory attendant, Tom Ripley, borrows a Princeton jacket to play piano at a garden party. When the wealthy father of a recent Princeton grad chats Tom up, Tom pretends to know the son and is soon offered $1,000 to go to Italy to convince Dickie Greenleaf to return home. In Italy, Tom attaches himself to Dickie and to Marge, Dickie's cultured fiancée, pretending to love jazz and harboring homoerotic hopes as he soaks in luxury. Besides lying, Tom's talents include impressions and forgery, so when the handsome and confident Dickie tires of Tom, dismissing him as a bore, Tom goes to extreme lengths to make Greenleaf's privileges his own.",R,139,7.4,2021-04-29T11:24:07.815960+03:00,https://www.youtube.com/embed/h4e-Si4oGEw,"https://m.media-amazon.com/images/M/MV5BODA3NDhiZjYtYTk2NS00ZWYwLTljYTQtMjU0NzcyMGEzNTU2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-02-17,"In late 1950s New York, Tom Ripley, a young underachiever, is sent to Italy to retrieve Dickie Greenleaf, a rich and spoiled millionaire playboy. But when the errand fails, Ripley takes extreme measures.",https://m.media-amazon.com/images/M/MV5BODA3NDhiZjYtYTk2NS00ZWYwLTljYTQtMjU0NzcyMGEzNTU2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,movie,{},"[{'id': 7, 'genre': 'Crime'}, {'id': 8, 'genre': 'Drama'}, {'id': 14, 'genre': 'Thriller'}]","[{'id': 107, 'keyword': 'sociopath'}, {'id': 503, 'keyword': 'male frontal nudity'}, {'id': 664, 'keyword': 'italy'}, {'id': 679, 'keyword': 'neo noir'}, {'id': 1301, 'keyword': 'nudity'}]",Crime;Drama;Thriller
tt0171804,Boys Don't Cry,1999,2584,"Based on actual events. Brandon Teena is the popular new guy in a tiny Nebraska town. He hangs out with the guys, drinking, cussing, and bumper surfing, and he charms the young women, who've never met a more sensitive and considerate young man. Life is good for Brandon, now that he's one of the guys and dating hometown beauty Lana; however, he's forgotten to mention one important detail. It's not that he's wanted in another town for GTA and other assorted crimes, but that Brandon Teena was actually born a woman named Teena Brandon. When his best friends make this discovery, Brandon's life is ripped apart.",R,118,7.5,2021-04-29T11:24:29.223771+03:00,https://www.youtube.com/embed/Ar9wGSd7KVQ,"https://m.media-amazon.com/images/M/MV5BN2YyODgyYjMtN2ZiZC00OWMzLTg1NjgtZGIwN2NlYTYxMTkwXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-02-03,"A young man named Brandon Teena navigates love, life, and being transgender in rural Nebraska.",https://m.media-amazon.com/images/M/MV5BN2YyODgyYjMtN2ZiZC00OWMzLTg1NjgtZGIwN2NlYTYxMTkwXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_.jpg,movie,{},"[{'id': 7, 'genre': 'Crime'}, {'id': 8, 'genre': 'Drama'}, {'id': 26, 'genre': 'Romance'}, {'id': 27, 'genre': 'Biography'}]","[{'id': 124, 'keyword': 'based on true story'}, {'id': 796, 'keyword': 'sex'}, {'id': 3915, 'keyword': 'transgender'}, {'id': 5248, 'keyword': 'prejudice'}, {'id': 7253, 'keyword': 'sexual assault'}]",Crime;Drama;Romance;Biography
tt0120689,The Green Mile,1999,195,"Death Row guards at a penitentiary, in the 1930's, have a moral dilemma with their job when they discover one of their prisoners, a convicted murderer, has a special gift.",R,189,8.6,2021-04-29T11:24:36.079441+03:00,https://www.youtube.com/embed/Ki4haFrqSrw,"https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_UX182_CR0,0,182,268_AL_.jpg",2000-02-10,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_.jpg,movie,{},"[{'id': 6, 'genre': 'Fantasy'}, {'id': 7, 'genre': 'Crime'}, {'id': 8, 'genre': 'Drama'}, {'id': 15, 'genre': 'Mystery'}]","[{'id': 64, 'keyword': '1930s'}, {'id': 1305, 'keyword': 'good versus evil'}, {'id': 1545, 'keyword': 'death row inmate'}, {'id': 1546, 'keyword': 'prison guard'}, {'id': 1547, 'keyword': 'death row'}]",Fantasy;Crime;Drama;Mystery
tt0143145,The World Is Not Enough,1999,1978,"James Bond (Pierce Brosnan) is back. An oil tycoon is murdered in MI6, and Bond is sent to protect his daughter. Renard (Robert Carlyle), who has a bullet lodged in his brain from a previous Agent, is secretly planning the destruction of a pipeline. Bond gains a hand from research scientist Dr. Christmas Jones (Denise Richards), who witnesses the action which happens when Bond meets up with Renard, but Bond becomes suspicious about Elektra King (Sophie Marceau), especially when Bond's boss, M (Dame Judi Dench) goes missing. Bond must work quickly to prevent Renard from destroying Europe.",PG-13,128,6.4,2021-04-29T11:25:00.763884+03:00,https://www.youtube.com/embed/9nH1DwQP2Xs,"https://m.media-amazon.com/images/M/MV5BMjA0MzUyNjg0MV5BMl5BanBnXkFtZTcwNDY5MDg0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-12-02,"James Bond uncovers a nuclear plot while protecting an oil heiress from her former kidnapper, an international terrorist who can't feel pain.",https://m.media-amazon.com/images/M/MV5BMjA0MzUyNjg0MV5BMl5BanBnXkFtZTcwNDY5MDg0NA@@._V1_.jpg,movie,{},"[{'id': 4, 'genre': 'Adventure'}, {'id': 7, 'genre': 'Crime'}, {'id': 13, 'genre': 'Action'}, {'id': 14, 'genre': 'Thriller'}]","[{'id': 1159, 'keyword': 'bare midriff'}, {'id': 1701, 'keyword': 'official bond film'}, {'id': 1956, 'keyword': 'black pantyhose'}, {'id': 5667, 'keyword': 'female stockinged legs'}, {'id': 6303, 'keyword': 'bilbao spain'}]",Adventure;Crime;Action;Thriller
tt0145660,Austin Powers: The Spy Who Shagged Me,1999,1969,"Dr. Evil uses a device he calls a ""Time Machine"" to travel back to 1969 and remove Austin Powers' mojo. The sexually wounded swinger must travel back in time and, with the help of agent Felicity Shagwell, recover his vitality. Meanwhile, Dr. Evil's personal life runs amok as he discovers love, continues to shun his son and develops a close relationship with himself. Well, actually, a clone 1/8 his size whom he dubs ""Mini-Me"". The always time-baffled Dr. Evil begins his plan to put a gigantic cannon on the moon, thus turning it into a device called either ""The Death Star"" or ""Alan Parson's Project,"" depending on which name is available.",PG-13,95,6.6,2021-04-29T11:25:00.824722+03:00,https://www.youtube.com/embed/LGVjoLlgHbM,"https://m.media-amazon.com/images/M/MV5BMmFkZGQxN2YtODNlYS00MzM5LTk3NjQtNTUxYmQ1YzkwMDhmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-09-09,"Dr. Evil is back and has invented a new time machine that allows him to go back to the 1960s and steal Austin Powers' mojo, inadvertently leaving him ""shagless"".",https://m.media-amazon.com/images/M/MV5BMmFkZGQxN2YtODNlYS00MzM5LTk3NjQtNTUxYmQ1YzkwMDhmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,movie,{},"[{'id': 4, 'genre': 'Adventure'}, {'id': 7, 'genre': 'Crime'}, {'id': 9, 'genre': 'Comedy'}, {'id': 13, 'genre': 'Action'}]","[{'id': 920, 'keyword': 'spy'}, {'id': 1893, 'keyword': 'parody'}, {'id': 4735, 'keyword': 'penis joke'}, {'id': 4736, 'keyword': 'sexy agent'}, {'id': 4737, 'keyword': 'sexual joke'}]",Adventure;Crime;Comedy;Action
tt0150377,Double Jeopardy,1999,2031,When Nick Parsons appears to be murdered his wife Libby is tried and convicted. Six years later Libby is paroled and is pursued by Travis Lehman (her parole officer) as she sets out to find her son and settle the score with Nick.,R,105,6.5,2021-04-29T11:25:27.456968+03:00,https://www.youtube.com/embed/u22fy9OTaxo,"https://m.media-amazon.com/images/M/MV5BM2UzNzYzMjctYmI0MS00MzQ3LTliMTktOTA1MGU0YTM3NzRjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-04-27,"A woman framed for her husband's murder suspects he is still alive; as she has already been tried for the crime, she can't be re-prosecuted if she finds and kills him.",https://m.media-amazon.com/images/M/MV5BM2UzNzYzMjctYmI0MS00MzQ3LTliMTktOTA1MGU0YTM3NzRjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,movie,{},"[{'id': 7, 'genre': 'Crime'}, {'id': 8, 'genre': 'Drama'}, {'id': 14, 'genre': 'Thriller'}, {'id': 15, 'genre': 'Mystery'}]","[{'id': 600, 'keyword': 'wrongful conviction'}, {'id': 719, 'keyword': 'sex scene'}, {'id': 1024, 'keyword': 'blood'}, {'id': 5245, 'keyword': 'wrongful arrest'}, {'id': 5246, 'keyword': 'woman on top'}]",Crime;Drama;Thriller;Mystery
tt0185371,House on Haunted Hill,1999,2834,"An eccentric millionaire and his wife host a party in a haunted mansion for five strangers, who'll each be given $10,000 if they survive the night. A promotional stunt was created for its release in theatres, for which a plastic skeleton was flown over the audience during key moments of the film.",R,93,5.7,2021-04-29T11:26:23.499083+03:00,https://www.youtube.com/embed/V-HA1Y5m2pY,"https://m.media-amazon.com/images/M/MV5BNzUwYWQzZDQtMDQ0Mi00NjFlLTgzNjAtNTFhZmZhNWY4NGEzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-05-25,"An amusement park mogul offers a group of diverse people $1,000,000 to spend the night in a haunted house with a horrifying past.",https://m.media-amazon.com/images/M/MV5BNzUwYWQzZDQtMDQ0Mi00NjFlLTgzNjAtNTFhZmZhNWY4NGEzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,movie,{},"[{'id': 6, 'genre': 'Fantasy'}, {'id': 7, 'genre': 'Crime'}, {'id': 14, 'genre': 'Thriller'}, {'id': 15, 'genre': 'Mystery'}, {'id': 28, 'genre': 'Horror'}]","[{'id': 1676, 'keyword': 'breasts'}, {'id': 2026, 'keyword': 'haunted house'}, {'id': 6246, 'keyword': 'characters killed one by one'}, {'id': 8687, 'keyword': 'haunted hospital'}, {'id': 8688, 'keyword': 'strapped to a bed'}]",Fantasy;Crime;Thriller;Mystery;Horror
tt0123964,Life,1999,2851,"In the mid-1990s, two inmates bury the burned bodies of two lifers at Mississippi's infamous Parchman Farm; a third old-timer relates their story. They'd served 65 years for a murder they didn't commit, framed by a local sheriff while buying moonshine whiskey for a Manhattan club owner to whom they owed money. In flashbacks we see this odd couple thrown together (Ray is a fast-talking con man, and Claude is a serious man about to start work as a bank teller), the loss of Ray's watch (sterling silver, from his daddy), the murder and trial, the hardships of Parchman, and the love-hate relationship of Claude and Ray as they spend 65 years bickering and looking for a way to escape.",R,108,6.8,2021-04-29T11:26:23.842751+03:00,https://www.youtube.com/embed/7R_vTEEyxoo,"https://m.media-amazon.com/images/M/MV5BN2M0YWM1OTgtMDY1Ni00Y2RkLTkxNzktODUyNDU0YWFkYjQyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-06-01,"In 1932, two strangers are wrongfully convicted and develop a strong friendship in prison that lasts them through the 20th century.",https://m.media-amazon.com/images/M/MV5BN2M0YWM1OTgtMDY1Ni00Y2RkLTkxNzktODUyNDU0YWFkYjQyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,movie,{},"[{'id': 7, 'genre': 'Crime'}, {'id': 8, 'genre': 'Drama'}, {'id': 9, 'genre': 'Comedy'}]","[{'id': 37, 'keyword': 'wrongful imprisonment'}, {'id': 600, 'keyword': 'wrongful conviction'}, {'id': 1822, 'keyword': 'baseball'}, {'id': 9402, 'keyword': 'year 1932'}, {'id': 9403, 'keyword': 'passage of time'}]",Crime;Drama;Comedy
tt0144117,The Boondock Saints,1999,1607,"Two Irish brothers accidentally kill mafia thugs. They turn themselves in and are released as heroes. They then see it as a calling by God and start knocking off mafia gang members one by one. Willem Dafoe plays the detective trying to figure out the killings, but the closer he comes to catching the Irish brothers, the more he thinks the brothers are doing the right thing.",R,108,7.8,2021-04-29T11:26:46.273722+03:00,https://www.youtube.com/embed/ydXojYfCF3I,"https://m.media-amazon.com/images/M/MV5BYzVmMTdjOTYtOTJkYS00ZTg2LWExNTgtNzA1N2Y0MDgwYWFhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-01-21,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.,https://m.media-amazon.com/images/M/MV5BYzVmMTdjOTYtOTJkYS00ZTg2LWExNTgtNzA1N2Y0MDgwYWFhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,movie,{},"[{'id': 7, 'genre': 'Crime'}, {'id': 13, 'genre': 'Action'}, {'id': 14, 'genre': 'Thriller'}]","[{'id': 13, 'keyword': 'drinking'}, {'id': 1090, 'keyword': 'male male kiss'}, {'id': 1461, 'keyword': 'gay'}, {'id': 4806, 'keyword': 'gay slur'}, {'id': 4807, 'keyword': 'cauterizing a wound'}]",Crime;Action;Thriller
tt0155776,Jawbreaker,1999,3265,"In a no-holds-barred birthday prank, three of Reagan High School's most popular girls - Julie, Marcie, and Courtney - pretend to kidnap the most popular, Liz Purr. Courtney shoves a jawbreaker into the victim's mouth ostensibly to keep her from screaming. Their plan goes awry when the girl accidentally swallows the jawbreaker, choking to death. The cool and calculating Courtney tries to cover the crime but is found out by school geek Fern Mayo. In return for her silence, Courtney transforms the gawky Fern into the stylishly beautiful Vylette, leaving the conscience-stricken Julie out in the cold, threatening to set her up for the girl's murder if she breaks her silence.",R,87,5.7,2021-04-29T11:26:57.519672+03:00,https://www.youtube.com/embed/bnroZaiPMy8,"https://m.media-amazon.com/images/M/MV5BOTcwZWZkZWUtZjRhMi00ZDNhLTljOWItNjBkNzIwYTA0YWQyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-02-19,Three of the most popular girls at Reagan High accidentally kill the prom queen with a jawbreaker when a kidnapping goes horribly wrong.,https://m.media-amazon.com/images/M/MV5BOTcwZWZkZWUtZjRhMi00ZDNhLTljOWItNjBkNzIwYTA0YWQyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,movie,{},"[{'id': 7, 'genre': 'Crime'}, {'id': 9, 'genre': 'Comedy'}, {'id': 14, 'genre': 'Thriller'}]","[{'id': 132, 'keyword': 'written by director'}, {'id': 340, 'keyword': 'female protagonist'}, {'id': 1328, 'keyword': 'erotica'}, {'id': 7525, 'keyword': 'popsicle'}, {'id': 7526, 'keyword': 'fake kidnapping'}]",Crime;Comedy;Thriller
