imdb_id,title,year,popularity,description,content_rating,movie_length,rating,created_at,trailer,image_url,release,plot,banner,type,more_like_this,gen,keywords,genres
tt0120601,Being John Malkovich,1999,1924,"Puppeteer Craig Schwartz and animal lover and pet store clerk Lotte Schwartz are just going through the motions of their marriage. Despite not being able to earn a living solely through puppeteering, Craig loves his profession as it allows him to inhabit the skin of others. He begins to take the ability to inhabit the skin of others to the next level when he is forced to take a job as a file clerk for the off-kilter LesterCorp, located on the five-foot tall 7½ floor of a Manhattan office building. Behind one of the filing cabinets in his work area, Craig finds a hidden door which he learns is a portal into the mind of John Malkovich, the visit through the portal which lasts fifteen minutes after which the person is spit into a ditch next to the New Jersey Turnpike. Craig is fascinated by the meaning of life associated with this finding. Lotte's trips through the portal make her evaluate her own self. And the confident Maxine Lund, one of Craig's co-workers who he tells about the ...",R,113,7.7,2021-04-29T11:23:21.370614+03:00,https://www.youtube.com/embed/2UuRFr0GnHM,"https://m.media-amazon.com/images/M/MV5BYmUxY2MyOTQtYjRlMi00ZWEwLTkzODctZDMxNDcyNTFhYjNjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-03-30,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,https://m.media-amazon.com/images/M/MV5BYmUxY2MyOTQtYjRlMi00ZWEwLTkzODctZDMxNDcyNTFhYjNjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_.jpg,movie,{},"[{'id': 6, 'genre': 'Fantasy'}, {'id': 8, 'genre': 'Drama'}, {'id': 9, 'genre': 'Comedy'}]","[{'id': 1213, 'keyword': 'body swap'}, {'id': 1289, 'keyword': 'portal'}, {'id': 3279, 'keyword': 'magical realism'}, {'id': 6390, 'keyword': 'puppeteer'}, {'id': 6391, 'keyword': 'body switching'}]",Fantasy;Drama;Comedy
tt0162661,Sleepy Hollow,1999,1261,"The curse of The Headless Horseman (Christopher Walken) is the legacy of the small town of Sleepy Hollow. Spearheaded by the eager Constable Ichabod Crane (Johnny Depp) and his new world ways into the quagmire of secrets and murder, secrets once laid to rest, best forgotten and now reawakened, and he too, holding a dark secret of a past once gone.",R,105,7.3,2021-04-29T11:23:30.390955+03:00,https://www.youtube.com/embed/6RsKwn_Je1k,"https://m.media-amazon.com/images/M/MV5BMTQ4Yjk5ODEtNGFkOS00OTY1LTgwYTYtOTFkNmU2NzBmNGM2XkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-04-06,"Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people, with the culprit being the legendary apparition, The Headless Horseman.",https://m.media-amazon.com/images/M/MV5BMTQ4Yjk5ODEtNGFkOS00OTY1LTgwYTYtOTFkNmU2NzBmNGM2XkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_.jpg,movie,{},"[{'id': 6, 'genre': 'Fantasy'}, {'id': 15, 'genre': 'Mystery'}, {'id': 28, 'genre': 'Horror'}]","[{'id': 309, 'keyword': 'investigation'}, {'id': 694, 'keyword': 'sword'}, {'id': 1143, 'keyword': 'legend'}, {'id': 4663, 'keyword': 'headless horseman'}, {'id': 4664, 'keyword': 'beheading'}]",Fantasy;Mystery;Horror
tt0120689,The Green Mile,1999,195,"Death Row guards at a penitentiary, in the 1930's, have a moral dilemma with their job when they discover one of their prisoners, a convicted murderer, has a special gift.",R,189,8.6,2021-04-29T11:24:36.079441+03:00,https://www.youtube.com/embed/Ki4haFrqSrw,"https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_UX182_CR0,0,182,268_AL_.jpg",2000-02-10,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_.jpg,movie,{},"[{'id': 6, 'genre': 'Fantasy'}, {'id': 7, 'genre': 'Crime'}, {'id': 8, 'genre': 'Drama'}, {'id': 15, 'genre': 'Mystery'}]","[{'id': 64, 'keyword': '1930s'}, {'id': 1305, 'keyword': 'good versus evil'}, {'id': 1545, 'keyword': 'death row inmate'}, {'id': 1546, 'keyword': 'prison guard'}, {'id': 1547, 'keyword': 'death row'}]",Fantasy;Crime;Drama;Mystery
tt0132347,Mystery Men,1999,213,"In order to generate more endorsement revenue, Champion City's resident superhero Captain Amazing arranges for the release of super villain Casanova Frankenstein, only to be captured by him. The city's fate rests in the hands of seven loser superhero wannabes: the fork-flinging Blue Rajah, the shovel-wielding Shoveler, the possessed bowling ball-hurling Bowler, the flatulent Spleen, the only-when-nobody's-looking Invisible Boy, the mysterious Sphinx, and the perpetually-angry Mr. Furious.",PG-13,121,6.1,2021-04-29T11:24:50.438280+03:00,https://www.youtube.com/embed/weL-NjlIQ0E,"https://m.media-amazon.com/images/M/MV5BYjdkZDRhYTgtNDliYS00ZmE1LThjYWMtOWNjNzNiODFmY2VmXkEyXkFqcGdeQXVyNjc4ODQwNzg@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-08-06,A group of inept amateur superheroes must try to save the day when a supervillain threatens to destroy a major superhero and the city.,https://m.media-amazon.com/images/M/MV5BYjdkZDRhYTgtNDliYS00ZmE1LThjYWMtOWNjNzNiODFmY2VmXkEyXkFqcGdeQXVyNjc4ODQwNzg@._V1_.jpg,movie,{},"[{'id': 6, 'genre': 'Fantasy'}, {'id': 9, 'genre': 'Comedy'}, {'id': 11, 'genre': 'Sci-Fi'}, {'id': 13, 'genre': 'Action'}]","[{'id': 480, 'keyword': 'troubled production'}, {'id': 845, 'keyword': 'action hero'}, {'id': 846, 'keyword': 'retirement home'}, {'id': 847, 'keyword': 'superhero spoof'}, {'id': 848, 'keyword': 'bowling ball'}]",Fantasy;Comedy;Sci-Fi;Action
tt0120915,Star Wars: Episode I - The Phantom Menace,1999,608,"The evil Trade Federation, led by Nute Gunray is planning to take over the peaceful world of Naboo. Jedi Knights Qui-Gon Jinn and Obi-Wan Kenobi are sent to confront the leaders. But not everything goes to plan. The two Jedi escape, and along with their new Gungan friend, Jar Jar Binks head to Naboo to warn Queen Amidala, but droids have already started to capture Naboo and the Queen is not safe there. Eventually, they land on Tatooine, where they become friends with a young boy known as Anakin Skywalker. Qui-Gon is curious about the boy, and sees a bright future for him. The group must now find a way of getting to Coruscant and to finally solve this trade dispute, but there is someone else hiding in the shadows. Are the Sith really extinct? Is the Queen really who she says she is? And what's so special about this young boy?",PG,136,6.5,2021-04-29T11:24:58.751065+03:00,https://www.youtube.com/embed/bD7bpG-zDJQ,"https://m.media-amazon.com/images/M/MV5BYTRhNjcwNWQtMGJmMi00NmQyLWE2YzItODVmMTdjNWI0ZDA2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-09-30,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.",https://m.media-amazon.com/images/M/MV5BYTRhNjcwNWQtMGJmMi00NmQyLWE2YzItODVmMTdjNWI0ZDA2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,movie,{},"[{'id': 4, 'genre': 'Adventure'}, {'id': 6, 'genre': 'Fantasy'}, {'id': 11, 'genre': 'Sci-Fi'}, {'id': 13, 'genre': 'Action'}]","[{'id': 628, 'keyword': 'slavery'}, {'id': 1219, 'keyword': 'r2 d2 character'}, {'id': 1220, 'keyword': 'c 3po character'}, {'id': 1221, 'keyword': 'jedi'}, {'id': 1222, 'keyword': 'torso cut in half'}]",Adventure;Fantasy;Sci-Fi;Action
tt0120655,Dogma,1999,1966,"An abortion clinic worker with a special heritage is enlisted to prevent two angels from reentering Heaven and thus undoing the fabric of the universe. Along the way, she is aided by two prophets, Jay and Silent Bob. With the help of Rufus, the 13th Apostle, they must stop those who stand in their way and prevent the angels from entering Heaven.",R,130,7.3,2021-04-29T11:24:59.772540+03:00,https://www.youtube.com/embed/20CRw3XdETA,"https://m.media-amazon.com/images/M/MV5BYzAyOWUyZjQtNDBiMy00ZDExLTgwNmMtZDdmY2ViNzkyN2Y0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-08-03,An abortion clinic worker with a special heritage is called upon to save the existence of humanity from being negated by two renegade angels trying to exploit a loop-hole and reenter Heaven.,https://m.media-amazon.com/images/M/MV5BYzAyOWUyZjQtNDBiMy00ZDExLTgwNmMtZDdmY2ViNzkyN2Y0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,movie,{},"[{'id': 4, 'genre': 'Adventure'}, {'id': 6, 'genre': 'Fantasy'}, {'id': 8, 'genre': 'Drama'}, {'id': 9, 'genre': 'Comedy'}]","[{'id': 338, 'keyword': 'clinic'}, {'id': 5064, 'keyword': 'silent bob character'}, {'id': 5065, 'keyword': 'jay character'}, {'id': 5066, 'keyword': 'angel'}, {'id': 5069, 'keyword': 'abortion clinic'}]",Adventure;Fantasy;Drama;Comedy
tt0120363,Toy Story 2,1999,2268,"While Andy is away at summer camp Woody has been toynapped by Al McWiggin, a greedy collector and proprietor of ""Al's Toy Barn""! In this all-out rescue mission, Buzz and his friends Mr. Potato Head, Slinky Dog, Rex and Hamm springs into action to rescue Woody from winding up as a museum piece. They must find a way to save him before he gets sold in Japan forever and they'll never see him again!",G,92,7.9,2021-04-29T11:25:11.851780+03:00,https://www.youtube.com/embed/xNWSGRD5CzU,"https://m.media-amazon.com/images/M/MV5BMWM5ZDcxMTYtNTEyNS00MDRkLWI3YTItNThmMGExMWY4NDIwXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-02-03,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",https://m.media-amazon.com/images/M/MV5BMWM5ZDcxMTYtNTEyNS00MDRkLWI3YTItNThmMGExMWY4NDIwXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_.jpg,movie,{},"[{'id': 4, 'genre': 'Adventure'}, {'id': 5, 'genre': 'Family'}, {'id': 6, 'genre': 'Fantasy'}, {'id': 9, 'genre': 'Comedy'}, {'id': 10, 'genre': 'Animation'}]","[{'id': 47, 'keyword': 'rescue'}, {'id': 483, 'keyword': 'cgi animation'}, {'id': 1156, 'keyword': '1990s'}, {'id': 2238, 'keyword': 'toy'}, {'id': 2239, 'keyword': 'toy comes to life'}]",Adventure;Family;Fantasy;Comedy;Animation
tt0120616,The Mummy,1999,375,"An English librarian called Evelyn Carnahan becomes interested in starting an archaeological dig at the ancient city of Hamunaptra. She gains the help of Rick O'Connell, after saving him from his death. What Evelyn, her brother Jonathan and Rick are unaware of is that another group of explorers are interested in the same dig. Unfortunately for everyone, this group ends up unleashing a curse which been laid on the dead High Priest Imhotep. Now 'The Mummy' is awake and it's going to take a lot more than guns to send him back to where he came from.",PG-13,124,7.0,2021-04-29T11:25:21.384980+03:00,https://www.youtube.com/embed/f7oKxlaUBac,"https://m.media-amazon.com/images/M/MV5BOTJiYjBhZDgtMjhiOC00MTIzLThlNGMtMmI1NjIwM2M3YTI5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-07-15,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.",https://m.media-amazon.com/images/M/MV5BOTJiYjBhZDgtMjhiOC00MTIzLThlNGMtMmI1NjIwM2M3YTI5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,movie,{},"[{'id': 4, 'genre': 'Adventure'}, {'id': 6, 'genre': 'Fantasy'}, {'id': 13, 'genre': 'Action'}]","[{'id': 1305, 'keyword': 'good versus evil'}, {'id': 2145, 'keyword': 'mummy'}, {'id': 2156, 'keyword': 'mummy character'}, {'id': 2157, 'keyword': 'gallows'}, {'id': 2158, 'keyword': '1920s'}]",Adventure;Fantasy;Action
tt0120604,Beowulf,1999,1882,"This post-apocalyptic future story is based on the 8th century Saxon epic poem about the knight who battled a monster in a medieval castle. In this story, Beowulf is a wanderer who learns about a man-eating creature called Grendel which comes in the night to devour warriors trapped at the Outpost. The Outpost is ruled by Hrothgar. He has a daughter, whose husband may have been murdered by the Outpost's master of arms.",R,95,4.2,2021-04-29T11:25:31.853320+03:00,https://www.youtube.com/embed/BOrfinPSqyQ,"https://m.media-amazon.com/images/M/MV5BZDk0N2Q5ZDktNWMyZC00NGI1LThmMWEtNTE3YjM0Nzg5YzAyXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-04-01,"In a besieged land, Beowulf must battle against the hideous creature Grendel and his vengeance seeking mother.",https://m.media-amazon.com/images/M/MV5BZDk0N2Q5ZDktNWMyZC00NGI1LThmMWEtNTE3YjM0Nzg5YzAyXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_.jpg,movie,{},"[{'id': 4, 'genre': 'Adventure'}, {'id': 6, 'genre': 'Fantasy'}, {'id': 11, 'genre': 'Sci-Fi'}, {'id': 13, 'genre': 'Action'}, {'id': 14, 'genre': 'Thriller'}, {'id': 28, 'genre': 'Horror'}]","[{'id': 442, 'keyword': 'monster'}, {'id': 482, 'keyword': 'warrior'}, {'id': 554, 'keyword': 'battle'}, {'id': 606, 'keyword': 'knight'}, {'id': 3132, 'keyword': 'sword and sorcery'}]",Adventure;Fantasy;Sci-Fi;Action;Thriller;Horror
tt0185371,House on Haunted Hill,1999,2834,"An eccentric millionaire and his wife host a party in a haunted mansion for five strangers, who'll each be given $10,000 if they survive the night. A promotional stunt was created for its release in theatres, for which a plastic skeleton was flown over the audience during key moments of the film.",R,93,5.7,2021-04-29T11:26:23.499083+03:00,https://www.youtube.com/embed/V-HA1Y5m2pY,"https://m.media-amazon.com/images/M/MV5BNzUwYWQzZDQtMDQ0Mi00NjFlLTgzNjAtNTFhZmZhNWY4NGEzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-05-25,"An amusement park mogul offers a group of diverse people $1,000,000 to spend the night in a haunted house with a horrifying past.",https://m.media-amazon.com/images/M/MV5BNzUwYWQzZDQtMDQ0Mi00NjFlLTgzNjAtNTFhZmZhNWY4NGEzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,movie,{},"[{'id': 6, 'genre': 'Fantasy'}, {'id': 7, 'genre': 'Crime'}, {'id': 14, 'genre': 'Thriller'}, {'id': 15, 'genre': 'Mystery'}, {'id': 28, 'genre': 'Horror'}]","[{'id': 1676, 'keyword': 'breasts'}, {'id': 2026, 'keyword': 'haunted house'}, {'id': 6246, 'keyword': 'characters killed one by one'}, {'id': 8687, 'keyword': 'haunted hospital'}, {'id': 8688, 'keyword': 'strapped to a bed'}]",Fantasy;Crime;Thriller;Mystery;Horror
