imdb_id,title,year,popularity,description,content_rating,movie_length,rating,created_at,trailer,image_url,release,plot,banner,type,more_like_this,gen,keywords,genres
tt0162661,Sleepy Hollow,1999,1261,"The curse of The Headless Horseman (Christopher Walken) is the legacy of the small town of Sleepy Hollow. Spearheaded by the eager Constable Ichabod Crane (Johnny Depp) and his new world ways into the quagmire of secrets and murder, secrets once laid to rest, best forgotten and now reawakened, and he too, holding a dark secret of a past once gone.",R,105,7.3,2021-04-29T11:23:30.390955+03:00,https://www.youtube.com/embed/6RsKwn_Je1k,"https://m.media-amazon.com/images/M/MV5BMTQ4Yjk5ODEtNGFkOS00OTY1LTgwYTYtOTFkNmU2NzBmNGM2XkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-04-06,"Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people, with the culprit being the legendary apparition, The Headless Horseman.",https://m.media-amazon.com/images/M/MV5BMTQ4Yjk5ODEtNGFkOS00OTY1LTgwYTYtOTFkNmU2NzBmNGM2XkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_.jpg,movie,{},"[{'id': 6, 'genre': 'Fantasy'}, {'id': 15, 'genre': 'Mystery'}, {'id': 28, 'genre': 'Horror'}]","[{'id': 309, 'keyword': 'investigation'}, {'id': 694, 'keyword': 'sword'}, {'id': 1143, 'keyword': 'legend'}, {'id': 4663, 'keyword': 'headless horseman'}, {'id': 4664, 'keyword': 'beheading'}]",Fantasy;Mystery;Horror
tt0142688,The Ninth Gate,1999,2335,"In New York, the money-driven dealer Dean Corso is a rare-books expert and partner of Bernie, who owns a bookstore. He is contacted by the renowned collector of books about the devil Boris Balkan, who has just acquired the rare The Nine Gates of the Kingdom of Shadows from the collector Andrew Telfer, to verify whether his book is authentic or a forgery. Balkan explains that the book was written by the writer Aristide Torchia, in 1666, with Lucifer and he was burned at the stake with his entire work. There are only three exemplars of The Nine Gates and in accordance with the legend, its nine engravings form a riddle to conjure the devil. The skeptical Corso accepts the assignment and has to fly to Sintra, Portugal, and Paris, France, to contact the owners Victor Fargas and Baroness Kessler and find the genuine exemplar for Balkan. Meanwhile, he asks Bernie to hide the rare book. Before traveling to Europe, the widow Liana Telfer wants to retrieve the book and has sex with Corso, but ...",R,133,6.7,2021-04-29T11:24:12.616023+03:00,https://www.youtube.com/embed/IKc1n-nIIx0,"https://m.media-amazon.com/images/M/MV5BM2Q1ZTFhMmYtNDljMS00Y2ZhLWE3M2QtMjYwYmFkYmJmMjI1XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-05-31,"A rare book dealer, while seeking out the last two copies of a demon text, gets drawn into a conspiracy with supernatural overtones.",https://m.media-amazon.com/images/M/MV5BM2Q1ZTFhMmYtNDljMS00Y2ZhLWE3M2QtMjYwYmFkYmJmMjI1XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_.jpg,movie,{},"[{'id': 14, 'genre': 'Thriller'}, {'id': 15, 'genre': 'Mystery'}]","[{'id': 5475, 'keyword': 'rare book'}, {'id': 5476, 'keyword': 'book detective'}, {'id': 5477, 'keyword': 'bibliophilia'}, {'id': 5478, 'keyword': 'satanic'}, {'id': 5479, 'keyword': 'unholy book'}]",Thriller;Mystery
tt0120689,The Green Mile,1999,195,"Death Row guards at a penitentiary, in the 1930's, have a moral dilemma with their job when they discover one of their prisoners, a convicted murderer, has a special gift.",R,189,8.6,2021-04-29T11:24:36.079441+03:00,https://www.youtube.com/embed/Ki4haFrqSrw,"https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_UX182_CR0,0,182,268_AL_.jpg",2000-02-10,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_.jpg,movie,{},"[{'id': 6, 'genre': 'Fantasy'}, {'id': 7, 'genre': 'Crime'}, {'id': 8, 'genre': 'Drama'}, {'id': 15, 'genre': 'Mystery'}]","[{'id': 64, 'keyword': '1930s'}, {'id': 1305, 'keyword': 'good versus evil'}, {'id': 1545, 'keyword': 'death row inmate'}, {'id': 1546, 'keyword': 'prison guard'}, {'id': 1547, 'keyword': 'death row'}]",Fantasy;Crime;Drama;Mystery
tt0167404,The Sixth Sense,1999,737,"Malcom Crowe (Bruce Willis) is a child psychologist who receives an award on the same night that he is visited by a very unhappy ex-patient. After this encounter, Crowe takes on the task of curing a young boy with the same ills as the ex-patient (Donnie Wahlberg) . This boy ""sees dead people"". Crowe spends a lot of time with the boy much to the dismay of his wife (Olivia Williams). Cole's mom (Toni Collette) is at her wit's end with what to do about her son's increasing problems. Crowe is the boy's only hope.",PG-13,107,8.1,2021-04-29T11:24:39.476361+03:00,https://www.youtube.com/embed/3-ZP95NF_Wk,"https://m.media-amazon.com/images/M/MV5BMWM4NTFhYjctNzUyNi00NGMwLTk3NTYtMDIyNTZmMzRlYmQyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-12-30,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,https://m.media-amazon.com/images/M/MV5BMWM4NTFhYjctNzUyNi00NGMwLTk3NTYtMDIyNTZmMzRlYmQyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_.jpg,movie,{},"[{'id': 8, 'genre': 'Drama'}, {'id': 14, 'genre': 'Thriller'}, {'id': 15, 'genre': 'Mystery'}]","[{'id': 702, 'keyword': 'surprise ending'}, {'id': 1115, 'keyword': 'ghost'}, {'id': 1251, 'keyword': 'single mother'}, {'id': 1252, 'keyword': 'able to see the dead'}, {'id': 1253, 'keyword': 'plot twist'}]",Drama;Thriller;Mystery
tt0120663,Eyes Wide Shut,1999,376,"After his wife, Alice, tells him about her sexual fantasies, William Harford sets out for a night of sexual adventure. After several less than successful encounters, he meets an old friend, Nick Nightingale--now a musician--who tells him of strange sex parties where he is required to play the piano blindfolded. All the men at the party are costumed and wear masks while the women are all young and beautiful. Harford manages to find an appropriate costume and heads out to the party. Once there, however, he is warned by someone who recognizes him, despite the mask, that he is in great danger. He manages to extricate himself, but the threats prove to be quite real and sinister.",R,159,7.4,2021-04-29T11:25:21.057886+03:00,https://www.youtube.com/embed/xgVo96JaqeM,"https://m.media-amazon.com/images/M/MV5BN2ZhNjI5MGItMzMwZS00N2VhLWE2NTEtNjFmZmRiYzZlNGVmXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-09-09,"A New York City doctor embarks on a harrowing, night-long odyssey of sexual and moral discovery after his wife reveals a painful secret to him.",https://m.media-amazon.com/images/M/MV5BN2ZhNjI5MGItMzMwZS00N2VhLWE2NTEtNjFmZmRiYzZlNGVmXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_.jpg,movie,{},"[{'id': 8, 'genre': 'Drama'}, {'id': 14, 'genre': 'Thriller'}, {'id': 15, 'genre': 'Mystery'}]","[{'id': 1033, 'keyword': 'prostitute'}, {'id': 2182, 'keyword': 'orgy'}, {'id': 2183, 'keyword': 'password'}, {'id': 2184, 'keyword': 'sex party'}, {'id': 2185, 'keyword': 'sexual fantasy'}]",Drama;Thriller;Mystery
tt0150377,Double Jeopardy,1999,2031,When Nick Parsons appears to be murdered his wife Libby is tried and convicted. Six years later Libby is paroled and is pursued by Travis Lehman (her parole officer) as she sets out to find her son and settle the score with Nick.,R,105,6.5,2021-04-29T11:25:27.456968+03:00,https://www.youtube.com/embed/u22fy9OTaxo,"https://m.media-amazon.com/images/M/MV5BM2UzNzYzMjctYmI0MS00MzQ3LTliMTktOTA1MGU0YTM3NzRjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-04-27,"A woman framed for her husband's murder suspects he is still alive; as she has already been tried for the crime, she can't be re-prosecuted if she finds and kills him.",https://m.media-amazon.com/images/M/MV5BM2UzNzYzMjctYmI0MS00MzQ3LTliMTktOTA1MGU0YTM3NzRjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,movie,{},"[{'id': 7, 'genre': 'Crime'}, {'id': 8, 'genre': 'Drama'}, {'id': 14, 'genre': 'Thriller'}, {'id': 15, 'genre': 'Mystery'}]","[{'id': 600, 'keyword': 'wrongful conviction'}, {'id': 719, 'keyword': 'sex scene'}, {'id': 1024, 'keyword': 'blood'}, {'id': 5245, 'keyword': 'wrongful arrest'}, {'id': 5246, 'keyword': 'woman on top'}]",Crime;Drama;Thriller;Mystery
tt0235198,Ôdishon,1999,1874,"In Tokyo, Shigeharu Aoyama is a widower that grieves the loss of his wife and raises his son Shigehiko Aoyama alone. Seven years later, the teenage Shigehiko asks why his middle-aged father does not remarry and Shigeharu meets his friend Yasuhisa Yoshikawa, who is a film producer, and tells his intention. However, Shigeharu has difficulties to approach to available women to date and Yasuhisa decide to organize a sham audition for casting the lead actress for the fake movie. They receive several portfolios of candidates and Shigeharu becomes obsessed by the gorgeous Asami Yamazaki. Despite the advice of the experienced Yasuhisa, Shigeharu calls Asami to date and he falls for her. But who is the mysterious Asami?",R,115,7.2,2021-04-29T11:25:30.965110+03:00,aa.com,"https://m.media-amazon.com/images/M/MV5BOWYzZjE4NzEtYzFhZS00Zjc3LWJjYTAtZjgwMGQyZjMxZjQ1XkEyXkFqcGdeQXVyNDQ5MDYzMTk@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-10-19,"A widower takes an offer to screen girls at a special audition, arranged for him by a friend to find him a new wife. The one he fancies is not who she appears to be after all.",https://m.media-amazon.com/images/M/MV5BOWYzZjE4NzEtYzFhZS00Zjc3LWJjYTAtZjgwMGQyZjMxZjQ1XkEyXkFqcGdeQXVyNDQ5MDYzMTk@._V1_.jpg,movie,{},"[{'id': 8, 'genre': 'Drama'}, {'id': 15, 'genre': 'Mystery'}, {'id': 28, 'genre': 'Horror'}]","[{'id': 362, 'keyword': 'torture'}, {'id': 1301, 'keyword': 'nudity'}, {'id': 1676, 'keyword': 'breasts'}, {'id': 2146, 'keyword': 'blow job'}, {'id': 9698, 'keyword': 'woman undressing'}]",Drama;Mystery;Horror
tt0185937,The Blair Witch Project,1999,1802,"In search of a local legend, three bold amateur documentarians--director, Heather; cameraman, Josh; sound recorder, Mike--hike into Burkittsville's gloomy Black Hills Forest to find a shadow: the fabled Blair Witch. Now, one long year later--after that fateful October of 1994--there's still no sign of the student filmmakers, apart from the raw footage they left behind. Who knows what truly happened during their creepy five-day journey into the mouth of madness? Was there, indeed, an intangible supernatural presence in the dark woods that led to the team's disappearance? Either way, the missing trio must have seen something. Could the nightmarish myth be real?",R,81,6.5,2021-04-29T11:25:35.771987+03:00,https://www.youtube.com/embed/MBZ-POVsrlI,"https://m.media-amazon.com/images/M/MV5BNzQ1NDBlNDItMDAyYS00YTI2LTgwMmYtMzAwMzg4NDFlM2ZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-11-25,"Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind.",https://m.media-amazon.com/images/M/MV5BNzQ1NDBlNDItMDAyYS00YTI2LTgwMmYtMzAwMzg4NDFlM2ZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,movie,{},"[{'id': 15, 'genre': 'Mystery'}, {'id': 28, 'genre': 'Horror'}]","[{'id': 2796, 'keyword': 'lost in the woods'}, {'id': 4545, 'keyword': 'maryland'}, {'id': 4925, 'keyword': 'found footage'}, {'id': 4926, 'keyword': 'supernatural horror'}, {'id': 4927, 'keyword': 'ghost story'}]",Mystery;Horror
tt0185371,House on Haunted Hill,1999,2834,"An eccentric millionaire and his wife host a party in a haunted mansion for five strangers, who'll each be given $10,000 if they survive the night. A promotional stunt was created for its release in theatres, for which a plastic skeleton was flown over the audience during key moments of the film.",R,93,5.7,2021-04-29T11:26:23.499083+03:00,https://www.youtube.com/embed/V-HA1Y5m2pY,"https://m.media-amazon.com/images/M/MV5BNzUwYWQzZDQtMDQ0Mi00NjFlLTgzNjAtNTFhZmZhNWY4NGEzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-05-25,"An amusement park mogul offers a group of diverse people $1,000,000 to spend the night in a haunted house with a horrifying past.",https://m.media-amazon.com/images/M/MV5BNzUwYWQzZDQtMDQ0Mi00NjFlLTgzNjAtNTFhZmZhNWY4NGEzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,movie,{},"[{'id': 6, 'genre': 'Fantasy'}, {'id': 7, 'genre': 'Crime'}, {'id': 14, 'genre': 'Thriller'}, {'id': 15, 'genre': 'Mystery'}, {'id': 28, 'genre': 'Horror'}]","[{'id': 1676, 'keyword': 'breasts'}, {'id': 2026, 'keyword': 'haunted house'}, {'id': 6246, 'keyword': 'characters killed one by one'}, {'id': 8687, 'keyword': 'haunted hospital'}, {'id': 8688, 'keyword': 'strapped to a bed'}]",Fantasy;Crime;Thriller;Mystery;Horror
tt0171363,The Haunting,1999,3017,"A remake of the classic 1963 movie ""The Haunting"" about a team of paranormal experts who look into strange occurrences in an ill-fated house. Through the course of the night some will unravel, some will question, and all will fight for their lives as the house fights back.",PG-13,113,5.0,2021-04-29T11:26:39.586112+03:00,https://www.youtube.com/embed/J4fWI5J4bEU,"https://m.media-amazon.com/images/M/MV5BMzBhMThiM2YtMWQ1OS00NmMyLWI4NGMtMjE3YzBmMTBiODJhL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-10-14,A study in fear escalates into a heart-stopping nightmare for a professor and three subjects trapped in a mysterious mansion.,https://m.media-amazon.com/images/M/MV5BMzBhMThiM2YtMWQ1OS00NmMyLWI4NGMtMjE3YzBmMTBiODJhL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,movie,{},"[{'id': 6, 'genre': 'Fantasy'}, {'id': 14, 'genre': 'Thriller'}, {'id': 15, 'genre': 'Mystery'}, {'id': 28, 'genre': 'Horror'}]","[{'id': 1635, 'keyword': 'horror movie remake'}, {'id': 2026, 'keyword': 'haunted house'}, {'id': 2982, 'keyword': 'mansion'}, {'id': 5738, 'keyword': 'old house'}, {'id': 8235, 'keyword': 'insomniac'}]",Fantasy;Thriller;Mystery;Horror
