imdb_id,title,year,popularity,description,content_rating,movie_length,rating,created_at,trailer,image_url,release,plot,banner,type,more_like_this,gen,keywords,genres
tt0134119,The Talented Mr. Ripley,1999,1549,"The 1950s. Manhattan lavatory attendant, Tom Ripley, borrows a Princeton jacket to play piano at a garden party. When the wealthy father of a recent Princeton grad chats Tom up, Tom pretends to know the son and is soon offered $1,000 to go to Italy to convince Dickie Greenleaf to return home. In Italy, Tom attaches himself to Dickie and to Marge, Dickie's cultured fiancée, pretending to love jazz and harboring homoerotic hopes as he soaks in luxury. Besides lying, Tom's talents include impressions and forgery, so when the handsome and confident Dickie tires of Tom, dismissing him as a bore, Tom goes to extreme lengths to make Greenleaf's privileges his own.",R,139,7.4,2021-04-29T11:24:07.815960+03:00,https://www.youtube.com/embed/h4e-Si4oGEw,"https://m.media-amazon.com/images/M/MV5BODA3NDhiZjYtYTk2NS00ZWYwLTljYTQtMjU0NzcyMGEzNTU2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-02-17,"In late 1950s New York, Tom Ripley, a young underachiever, is sent to Italy to retrieve Dickie Greenleaf, a rich and spoiled millionaire playboy. But when the errand fails, Ripley takes extreme measures.",https://m.media-amazon.com/images/M/MV5BODA3NDhiZjYtYTk2NS00ZWYwLTljYTQtMjU0NzcyMGEzNTU2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,movie,{},"[{'id': 7, 'genre': 'Crime'}, {'id': 8, 'genre': 'Drama'}, {'id': 14, 'genre': 'Thriller'}]","[{'id': 107, 'keyword': 'sociopath'}, {'id': 503, 'keyword': 'male frontal nudity'}, {'id': 664, 'keyword': 'italy'}, {'id': 679, 'keyword': 'neo noir'}, {'id': 1301, 'keyword': 'nudity'}]",Crime;Drama;Thriller
tt0142688,The Ninth Gate,1999,2335,"In New York, the money-driven dealer Dean Corso is a rare-books expert and partner of Bernie, who owns a bookstore. He is contacted by the renowned collector of books about the devil Boris Balkan, who has just acquired the rare The Nine Gates of the Kingdom of Shadows from the collector Andrew Telfer, to verify whether his book is authentic or a forgery. Balkan explains that the book was written by the writer Aristide Torchia, in 1666, with Lucifer and he was burned at the stake with his entire work. There are only three exemplars of The Nine Gates and in accordance with the legend, its nine engravings form a riddle to conjure the devil. The skeptical Corso accepts the assignment and has to fly to Sintra, Portugal, and Paris, France, to contact the owners Victor Fargas and Baroness Kessler and find the genuine exemplar for Balkan. Meanwhile, he asks Bernie to hide the rare book. Before traveling to Europe, the widow Liana Telfer wants to retrieve the book and has sex with Corso, but ...",R,133,6.7,2021-04-29T11:24:12.616023+03:00,https://www.youtube.com/embed/IKc1n-nIIx0,"https://m.media-amazon.com/images/M/MV5BM2Q1ZTFhMmYtNDljMS00Y2ZhLWE3M2QtMjYwYmFkYmJmMjI1XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-05-31,"A rare book dealer, while seeking out the last two copies of a demon text, gets drawn into a conspiracy with supernatural overtones.",https://m.media-amazon.com/images/M/MV5BM2Q1ZTFhMmYtNDljMS00Y2ZhLWE3M2QtMjYwYmFkYmJmMjI1XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_.jpg,movie,{},"[{'id': 14, 'genre': 'Thriller'}, {'id': 15, 'genre': 'Mystery'}]","[{'id': 5475, 'keyword': 'rare book'}, {'id': 5476, 'keyword': 'book detective'}, {'id': 5477, 'keyword': 'bibliophilia'}, {'id': 5478, 'keyword': 'satanic'}, {'id': 5479, 'keyword': 'unholy book'}]",Thriller;Mystery
tt0167404,The Sixth Sense,1999,737,"Malcom Crowe (Bruce Willis) is a child psychologist who receives an award on the same night that he is visited by a very unhappy ex-patient. After this encounter, Crowe takes on the task of curing a young boy with the same ills as the ex-patient (Donnie Wahlberg) . This boy ""sees dead people"". Crowe spends a lot of time with the boy much to the dismay of his wife (Olivia Williams). Cole's mom (Toni Collette) is at her wit's end with what to do about her son's increasing problems. Crowe is the boy's only hope.",PG-13,107,8.1,2021-04-29T11:24:39.476361+03:00,https://www.youtube.com/embed/3-ZP95NF_Wk,"https://m.media-amazon.com/images/M/MV5BMWM4NTFhYjctNzUyNi00NGMwLTk3NTYtMDIyNTZmMzRlYmQyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-12-30,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,https://m.media-amazon.com/images/M/MV5BMWM4NTFhYjctNzUyNi00NGMwLTk3NTYtMDIyNTZmMzRlYmQyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_.jpg,movie,{},"[{'id': 8, 'genre': 'Drama'}, {'id': 14, 'genre': 'Thriller'}, {'id': 15, 'genre': 'Mystery'}]","[{'id': 702, 'keyword': 'surprise ending'}, {'id': 1115, 'keyword': 'ghost'}, {'id': 1251, 'keyword': 'single mother'}, {'id': 1252, 'keyword': 'able to see the dead'}, {'id': 1253, 'keyword': 'plot twist'}]",Drama;Thriller;Mystery
tt0120907,eXistenZ,1999,2394,"Allegra Geller, the leading game designer in the world, is testing her new virtual reality game, eXistenZ with a focus group. As they begin, she is attacked by a fanatic assassin employing a bizarre organic gun. She flees with a young marketing trainee, Ted Pikul, who is suddenly assigned as her bodyguard. Unfortunately, her pod, an organic gaming device that contains the only copy of the eXistenZ game program, is damaged. To inspect it, she talks Ted into accepting a gameport in his own body so he can play the game with her. The events leading up to this, and the resulting game lead the pair on a strange adventure where reality and their actions are impossible to determine from either their own or the game's perspective.",R,97,6.8,2021-04-29T11:24:46.987501+03:00,https://www.youtube.com/embed/HAdbdUt_h9M,"https://m.media-amazon.com/images/M/MV5BMmU1MTJkYWItMzM5Ny00NDgxLTgxOGEtNTkzNDdkZjkwNGI0XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-06-24,A game designer on the run from assassins must play her latest virtual reality creation with a marketing trainee to determine if the game has been damaged.,https://m.media-amazon.com/images/M/MV5BMmU1MTJkYWItMzM5Ny00NDgxLTgxOGEtNTkzNDdkZjkwNGI0XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_.jpg,movie,{},"[{'id': 11, 'genre': 'Sci-Fi'}, {'id': 14, 'genre': 'Thriller'}, {'id': 28, 'genre': 'Horror'}]","[{'id': 130, 'keyword': 'parallel world'}, {'id': 871, 'keyword': 'game'}, {'id': 2530, 'keyword': 'body horror'}, {'id': 2551, 'keyword': 'alternate reality'}, {'id': 8796, 'keyword': 'game designer'}]",Sci-Fi;Thriller;Horror
tt0157503,Drop Dead Gorgeous,1999,2405,"In a small Minnesota town, the annual beauty pageant is being covered by a TV crew. Former winner Gladys Leeman wants to make sure her daughter follows in her footsteps. Explosions, falling lights, and trailer fires prove that. As the Leemans are the richest family in town the police are pretty relaxed about it all. Despite everything, main rival (but nice) Amber Atkins won't be stopped. There could well be more death and disappointment to come.",PG-13,97,6.6,2021-04-29T11:24:47.231850+03:00,https://www.youtube.com/embed/dpkZV4wX92M,"https://m.media-amazon.com/images/M/MV5BOTBhYjRlYmYtNzQxZS00NmEwLTk3OTAtNjU4MDEwMmUyZDczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-06-08,A small-town beauty pageant turns deadly as it becomes clear that someone will go to any lengths to win.,https://m.media-amazon.com/images/M/MV5BOTBhYjRlYmYtNzQxZS00NmEwLTk3OTAtNjU4MDEwMmUyZDczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,movie,{},"[{'id': 9, 'genre': 'Comedy'}, {'id': 14, 'genre': 'Thriller'}, {'id': 26, 'genre': 'Romance'}]","[{'id': 96, 'keyword': 'murder'}, {'id': 493, 'keyword': 'f rated'}, {'id': 1394, 'keyword': 'small town'}, {'id': 1460, 'keyword': 'beauty pageant'}, {'id': 1867, 'keyword': 'minnesota'}]",Comedy;Thriller;Romance
tt0143145,The World Is Not Enough,1999,1978,"James Bond (Pierce Brosnan) is back. An oil tycoon is murdered in MI6, and Bond is sent to protect his daughter. Renard (Robert Carlyle), who has a bullet lodged in his brain from a previous Agent, is secretly planning the destruction of a pipeline. Bond gains a hand from research scientist Dr. Christmas Jones (Denise Richards), who witnesses the action which happens when Bond meets up with Renard, but Bond becomes suspicious about Elektra King (Sophie Marceau), especially when Bond's boss, M (Dame Judi Dench) goes missing. Bond must work quickly to prevent Renard from destroying Europe.",PG-13,128,6.4,2021-04-29T11:25:00.763884+03:00,https://www.youtube.com/embed/9nH1DwQP2Xs,"https://m.media-amazon.com/images/M/MV5BMjA0MzUyNjg0MV5BMl5BanBnXkFtZTcwNDY5MDg0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-12-02,"James Bond uncovers a nuclear plot while protecting an oil heiress from her former kidnapper, an international terrorist who can't feel pain.",https://m.media-amazon.com/images/M/MV5BMjA0MzUyNjg0MV5BMl5BanBnXkFtZTcwNDY5MDg0NA@@._V1_.jpg,movie,{},"[{'id': 4, 'genre': 'Adventure'}, {'id': 7, 'genre': 'Crime'}, {'id': 13, 'genre': 'Action'}, {'id': 14, 'genre': 'Thriller'}]","[{'id': 1159, 'keyword': 'bare midriff'}, {'id': 1701, 'keyword': 'official bond film'}, {'id': 1956, 'keyword': 'black pantyhose'}, {'id': 5667, 'keyword': 'female stockinged legs'}, {'id': 6303, 'keyword': 'bilbao spain'}]",Adventure;Crime;Action;Thriller
tt0149261,Deep Blue Sea,1999,2012,"A businessman sinks $200 million into a special project to help fight Alzheimer's disease. As part of this project, medical biologist Susan McAlester rather naughtily figures out a way to genetically enlarge shark brains, so that disease-battling enzymes can be harvested. However, the shark subjects become super smart and decide they don't much like being cooped up in pens and being stabbed with hypodermics, so they figure a way to break out and make for the open sea...",R,105,5.9,2021-04-29T11:25:02.348656+03:00,https://www.youtube.com/embed/oSz9MDN-iac,"https://m.media-amazon.com/images/M/MV5BZWM0NjVkOGYtMjk5Mi00NGVmLWE3NDMtMDQ3ZjdjMDcwYzdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-10-28,"Searching for a cure to Alzheimer's disease, a group of scientists on an isolated research facility become the prey, as a trio of intelligent sharks fight back.",https://m.media-amazon.com/images/M/MV5BZWM0NjVkOGYtMjk5Mi00NGVmLWE3NDMtMDQ3ZjdjMDcwYzdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,movie,{},"[{'id': 4, 'genre': 'Adventure'}, {'id': 11, 'genre': 'Sci-Fi'}, {'id': 13, 'genre': 'Action'}, {'id': 14, 'genre': 'Thriller'}]","[{'id': 449, 'keyword': ""alzheimer's disease""}, {'id': 497, 'keyword': 'scientist'}, {'id': 1194, 'keyword': 'shark'}, {'id': 4011, 'keyword': 'experiment'}, {'id': 5896, 'keyword': 'research'}]",Adventure;Sci-Fi;Action;Thriller
tt0120663,Eyes Wide Shut,1999,376,"After his wife, Alice, tells him about her sexual fantasies, William Harford sets out for a night of sexual adventure. After several less than successful encounters, he meets an old friend, Nick Nightingale--now a musician--who tells him of strange sex parties where he is required to play the piano blindfolded. All the men at the party are costumed and wear masks while the women are all young and beautiful. Harford manages to find an appropriate costume and heads out to the party. Once there, however, he is warned by someone who recognizes him, despite the mask, that he is in great danger. He manages to extricate himself, but the threats prove to be quite real and sinister.",R,159,7.4,2021-04-29T11:25:21.057886+03:00,https://www.youtube.com/embed/xgVo96JaqeM,"https://m.media-amazon.com/images/M/MV5BN2ZhNjI5MGItMzMwZS00N2VhLWE2NTEtNjFmZmRiYzZlNGVmXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-09-09,"A New York City doctor embarks on a harrowing, night-long odyssey of sexual and moral discovery after his wife reveals a painful secret to him.",https://m.media-amazon.com/images/M/MV5BN2ZhNjI5MGItMzMwZS00N2VhLWE2NTEtNjFmZmRiYzZlNGVmXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_.jpg,movie,{},"[{'id': 8, 'genre': 'Drama'}, {'id': 14, 'genre': 'Thriller'}, {'id': 15, 'genre': 'Mystery'}]","[{'id': 1033, 'keyword': 'prostitute'}, {'id': 2182, 'keyword': 'orgy'}, {'id': 2183, 'keyword': 'password'}, {'id': 2184, 'keyword': 'sex party'}, {'id': 2185, 'keyword': 'sexual fantasy'}]",Drama;Thriller;Mystery
tt0150377,Double Jeopardy,1999,2031,When Nick Parsons appears to be murdered his wife Libby is tried and convicted. Six years later Libby is paroled and is pursued by Travis Lehman (her parole officer) as she sets out to find her son and settle the score with Nick.,R,105,6.5,2021-04-29T11:25:27.456968+03:00,https://www.youtube.com/embed/u22fy9OTaxo,"https://m.media-amazon.com/images/M/MV5BM2UzNzYzMjctYmI0MS00MzQ3LTliMTktOTA1MGU0YTM3NzRjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",2000-04-27,"A woman framed for her husband's murder suspects he is still alive; as she has already been tried for the crime, she can't be re-prosecuted if she finds and kills him.",https://m.media-amazon.com/images/M/MV5BM2UzNzYzMjctYmI0MS00MzQ3LTliMTktOTA1MGU0YTM3NzRjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,movie,{},"[{'id': 7, 'genre': 'Crime'}, {'id': 8, 'genre': 'Drama'}, {'id': 14, 'genre': 'Thriller'}, {'id': 15, 'genre': 'Mystery'}]","[{'id': 600, 'keyword': 'wrongful conviction'}, {'id': 719, 'keyword': 'sex scene'}, {'id': 1024, 'keyword': 'blood'}, {'id': 5245, 'keyword': 'wrongful arrest'}, {'id': 5246, 'keyword': 'woman on top'}]",Crime;Drama;Thriller;Mystery
tt0120604,Beowulf,1999,1882,"This post-apocalyptic future story is based on the 8th century Saxon epic poem about the knight who battled a monster in a medieval castle. In this story, Beowulf is a wanderer who learns about a man-eating creature called Grendel which comes in the night to devour warriors trapped at the Outpost. The Outpost is ruled by Hrothgar. He has a daughter, whose husband may have been murdered by the Outpost's master of arms.",R,95,4.2,2021-04-29T11:25:31.853320+03:00,https://www.youtube.com/embed/BOrfinPSqyQ,"https://m.media-amazon.com/images/M/MV5BZDk0N2Q5ZDktNWMyZC00NGI1LThmMWEtNTE3YjM0Nzg5YzAyXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_UX182_CR0,0,182,268_AL_.jpg",1999-04-01,"In a besieged land, Beowulf must battle against the hideous creature Grendel and his vengeance seeking mother.",https://m.media-amazon.com/images/M/MV5BZDk0N2Q5ZDktNWMyZC00NGI1LThmMWEtNTE3YjM0Nzg5YzAyXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_.jpg,movie,{},"[{'id': 4, 'genre': 'Adventure'}, {'id': 6, 'genre': 'Fantasy'}, {'id': 11, 'genre': 'Sci-Fi'}, {'id': 13, 'genre': 'Action'}, {'id': 14, 'genre': 'Thriller'}, {'id': 28, 'genre': 'Horror'}]","[{'id': 442, 'keyword': 'monster'}, {'id': 482, 'keyword': 'warrior'}, {'id': 554, 'keyword': 'battle'}, {'id': 606, 'keyword': 'knight'}, {'id': 3132, 'keyword': 'sword and sorcery'}]",Adventure;Fantasy;Sci-Fi;Action;Thriller;Horror
